dismiss	0 0 0 0 0 0 0 0 0 0 0 0 0 13.98 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02
el	18.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.86 0 0 0 0 0 0 0 0.02 0 0 0.02 0 0 0 0.07 0 0 0 0 0 0 0
close	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0
transition_duration	0 0 0 0 0 0 0 13.41 0.51 0 0.01 0 0 0 0 0 0 0 0 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.65 0 0 0 0 0 0 0 0 0.38 0 0 0
selector	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.11 26.23 0 0 0 0 0 0
attr	0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35.98 0 0 0 0 0 0 0 0.01 0 0 0 0 0
href	0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 27.31 0 0 0 0 1.68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
s	0 0 0 0 0 0.01 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0.02 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 7.86 0 0 0 0 0 0.01 0.05 0 0 0.01 0 0 0
strip	0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0 5.94 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0
for	0 0 0 0 0 0 0.06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16.74 0 0 0 0.18 0 0 0 0 0.02 0 0 0 0
ie7	0 0 0 0 0 0.01 0 0.02 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.69 0.01 0 0 0.26 0 0 0 0 0 0 0 0 0
parent	0 0 0 0 17.38 0 0 0 0 0 0 9.29 2.03 0 0 0 0 0 3.59 0.01 0 0.01 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.48 7.58 0 0 0.61 0 0 0 0
preventdefault	0 0 0 0 0 0 0 0 0 0 0 0 0 0.06 0 0 0.02 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.86 0 0 0.04 0 0 0 0 0 0 0 0 0.01 0
length	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.84 0 1.69 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 1.21 21.25 0 0 0 0 0 0 0 0 0 0 0
closest	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.98 0 0 0 0 0 0 0.02 0 0 0 0
